order_id,customer_id,product_id,order_date,quantity,discount,ship_days
10087,359,1068,2022-09-16,1,0.1,3
10088,369,1077,2023-08-25,7,0.2,4
10089,248,1059,2024-02-09,2,0.0,6
10090,412,1037,2024-05-02,9,0.0,3
10091,485,1054,2022-10-13,1,0.05,1
10092,220,1026,2023-07-14,1,0.0,2
10093,383,1054,2022-02-03,4,0.0,5
10094,380,1051,2023-10-06,3,0.1,5
10095,65,1017,2022-03-09,3,0.05,7
10096,310,1027,2022-10-26,5,0.1,4
10097,112,1002,2024-10-12,2,0.0,4
10098,68,1007,2023-04-15,7,0.0,5
10099,336,1066,2024-08-11,4,0.15,1
10100,65,1068,2022-06-26,7,0.0,3
10101,72,1036,2023-09-19,1,0.0,3
10102,273,1038,2024-10-25,9,0.0,5
10103,352,1050,2022-08-09,3,0.0,5
10104,53,1075,2022-10-17,5,0.1,4
10105,332,1036,2024-09-04,1,0.1,7
10106,120,1031,2024-09-27,6,0.0,3
10107,238,1038,2024-02-14,2,0.15,4
10108,401,1011,2024-07-13,6,0.0,1
10109,490,1024,2024-05-19,4,0.05,1
10110,469,1019,2022-09-13,5,0.0,1
10111,77,1074,2024-07-18,6,0.0,2
10112,250,1018,2022-10-28,9,0.0,4
10113,219,1053,2022-07-13,4,0.0,1
10114,40,1036,2022-04-05,3,0.0,3
10115,174,1078,2022-09-09,8,0.05,7
10116,209,1078,2022-07-16,9,0.05,7
10117,70,1068,2023-01-10,8,0.05,1
10118,366,1078,2024-04-20,5,0.05,4
10119,256,1058,2023-09-15,5,0.0,4
10120,50,1052,2023-01-18,8,0.15,2
10121,198,1068,2024-11-23,2,0.15,3
10122,273,1045,2024-06-12,6,0.05,4
10123,275,1042,2024-09-03,4,0.05,2
10124,18,1002,2024-09-12,4,0.2,5
10125,448,1004,2024-07-23,5,0.1,5
10126,236,1072,2022-02-26,6,0.05,6
10127,341,1043,2024-01-02,9,0.0,4
10128,371,1048,2023-09-04,8,0.1,5
10129,472,1073,2022-01-18,2,0.0,7
10130,367,1019,2022-02-16,9,0.15,5
10131,193,1028,2023-01-26,8,0.05,4
10132,468,1044,2024-07-13,6,0.0,5
10133,284,1080,2023-08-06,3,0.15,3
10134,248,1022,2022-08-25,5,0.0,3
10135,306,1005,2024-08-19,4,0.1,5
10136,315,1025,2024-10-27,6,0.1,4
10137,469,1066,2023-01-13,4,0.0,3
10138,362,1032,2022-04-07,5,0.1,7
10139,80,1028,2024-11-02,8,0.1,2
10140,287,1001,2023-06-12,7,0.15,2
10141,369,1003,2023-11-10,9,0.0,1
10142,212,1046,2022-06-25,7,0.15,3
10143,495,1034,2022-07-16,2,0.15,6
10144,266,1023,2023-02-23,-1,0.0,6
10145,308,1012,2024-03-10,9,0.0,4
10146,126,1076,2022-06-15,1,0.0,6
10147,402,1068,2022-11-10,7,0.1,6
10148,338,1055,2022-01-02,8,0.2,3
10149,263,1003,2023-11-09,1,0.05,7
10150,469,1058,2022-11-07,3,0.05,6
10151,241,1024,2023-05-19,3,0.05,1
10152,367,1012,2023-02-19,7,0.0,3
10153,264,1043,2024-08-12,7,0.05,6
10154,350,1045,2022-09-11,9,0.0,3
10155,279,1060,2024-10-01,3,0.1,4
10156,425,1034,2023-05-17,8,0.0,4
10157,199,1014,2024-10-13,3,0.05,7
10158,169,1007,2024-06-22,8,0.15,4
10159,224,1049,2024-11-05,2,0.05,7
10160,161,1015,2023-09-22,9,0.0,4
10161,442,1021,2024-06-08,2,0.1,2
10162,389,1078,2022-06-07,5,0.05,4
10163,254,1052,2023-08-31,-1,0.0,2
10164,227,1032,2022-04-29,9,0.1,3
10165,260,1049,2022-06-10,3,0.0,3
10166,277,1059,2022-04-27,7,0.0,4
10167,356,1044,2022-04-06,1,0.05,3
10168,3,1027,2023-05-13,6,0.05,4
10169,138,1018,2024-12-03,8,0.05,7
10170,373,1024,2024-11-05,2,0.0,6
10171,17,1046,2023-11-15,-1,0.0,4
10172,127,1020,2022-01-01,4,0.15,3
10173,266,1053,2023-01-11,6,0.05,3
10174,387,1053,2024-11-07,6,0.0,3
10175,441,1028,2024-05-04,2,0.15,5
10176,368,1025,2022-06-03,8,0.1,1
10177,90,1051,2022-10-04,4,0.0,5
10178,416,1072,2022-10-03,1,0.05,6
10179,377,1076,2022-07-04,5,0.05,1
10180,183,1063,2024-02-12,1,0.1,5
10181,413,1072,2024-12-05,3,0.05,2
10182,127,1062,2022-02-23,4,0.0,1
10183,80,1004,2024-05-21,2,0.0,1
10184,7,1074,2024-11-28,6,0.15,5
10185,274,1042,2023-05-08,2,0.0,6
10186,268,1066,2024-04-02,9,0.15,2
10187,421,1026,2022-07-23,5,0.2,4
10188,32,1059,2023-03-15,5,0.05,1
10189,318,1039,2023-02-28,2,0.05,3
10190,51,1080,2023-10-11,4,0.0,7
10191,306,1053,2023-03-28,5,0.0,6
10192,367,1020,2023-03-15,5,0.0,4
10193,423,1077,2024-11-01,8,0.0,4
10194,433,1062,2024-11-28,9,0.0,3
10195,255,1024,2024-10-28,4,0.2,3
10196,265,1059,2023-07-05,4,0.0,4
10197,232,1060,2022-06-26,2,0.1,5
10198,133,1077,2024-04-02,2,0.0,4
10199,262,1043,2024-07-19,6,0.0,7
10200,10,1073,2023-07-12,5,0.0,6
10201,292,1007,2023-02-25,4,0.0,2
10202,401,1017,2023-04-10,3,0.0,4
10203,267,1059,2024-09-15,7,0.05,1
10204,84,1034,2022-03-30,2,0.0,6
10205,182,1054,2023-10-15,9,0.2,3
10206,148,1014,2023-01-19,6,0.0,6
10207,299,1003,2023-08-23,5,0.0,3
10208,186,1014,2023-04-24,6,0.0,5
10209,408,1070,2024-05-29,1,0.1,6
10210,134,1005,2023-03-06,2,0.05,2
10211,154,1027,2022-07-19,6,0.0,6
10212,354,1060,2024-06-19,5,0.05,2
10213,198,1041,2022-05-09,4,0.0,6
10214,424,1037,2022-05-17,6,0.0,5
10215,295,1031,2024-06-12,9,0.0,5
10216,391,1044,2023-09-03,7,0.1,6
10217,500,1001,2024-01-21,7,0.1,3
10218,259,1025,2023-06-15,3,0.15,6
10219,205,1067,2023-07-19,5,0.0,7
10220,369,1070,2023-05-04,7,0.05,2
10221,394,1038,2023-01-13,6,0.05,2
10222,483,1029,2023-01-15,5,0.15,7
10223,436,1072,2022-06-27,7,0.0,2
10224,299,1051,2023-02-13,2,0.0,4
10225,455,1017,2022-07-01,5,0.05,7
10226,62,1079,2024-05-15,8,0.2,1
10227,101,1067,2024-09-04,9,0.0,7
10228,401,1057,2024-02-08,3,0.15,3
10229,415,1064,2023-02-01,4,0.05,5
10230,391,1041,2022-02-17,8,0.2,1
10231,448,1027,2023-03-29,8,0.05,7
10232,115,1051,2023-09-28,1,0.15,3
10233,385,1031,2024-07-12,6,0.0,5
10234,315,1055,2022-11-22,1,0.1,7
10235,342,1020,2022-01-17,1,0.0,4
10236,383,1011,2023-07-04,1,0.0,1
10237,407,1037,2023-05-04,3,0.1,6
10238,350,1072,2024-09-20,6,0.15,6
10239,1,1020,2024-12-02,4,0.0,1
10240,377,1061,2022-07-13,1,0.0,1
10241,369,1039,2024-11-18,1,0.15,1
10242,154,1068,2024-01-15,3,0.1,3
10243,355,1056,2023-10-26,7,0.0,7
10244,386,1024,2023-08-08,5,0.0,1
10245,112,1006,2023-10-07,6,0.2,2
10246,463,1056,2022-11-27,6,0.15,1
10247,394,1070,2022-09-18,2,0.05,3
10248,182,1077,2022-04-13,2,0.1,3
10249,192,1024,2023-05-18,8,0.05,1
10250,447,1005,2023-10-20,5,0.0,3
10251,167,1001,2023-06-11,7,0.0,6
10252,112,1065,2023-12-08,9,0.0,6
10253,244,1066,2024-08-06,6,0.15,5
10254,447,1028,2024-08-07,1,0.0,5
10255,497,1004,2023-02-18,6,0.15,6
10256,382,1059,2023-12-25,8,0.2,7
10257,471,1021,2022-03-11,6,0.05,4
10258,158,1060,2023-07-31,9,0.0,5
10259,426,1029,2024-11-12,9,0.0,1
10260,405,1013,2023-12-26,3,0.0,7
10261,255,1002,2022-10-08,3,0.0,7
10262,115,1054,2022-12-08,6,0.1,1
10263,277,1079,2024-05-09,1,0.05,5
10264,64,1064,2023-06-18,4,0.0,4
10265,357,1004,2023-02-03,2,0.15,1
10266,467,1071,2022-09-06,3,0.0,1
10267,336,1016,2023-07-10,9,0.0,6
10268,228,1007,2024-03-07,9,0.1,4
10269,3,1070,2023-06-30,2,0.0,7
10270,488,1028,2022-08-01,7,0.1,1
10271,418,1043,2023-11-03,9,0.0,3
10272,126,1011,2023-11-27,7,0.15,5
10273,441,1071,2023-06-11,4,0.0,5
10274,201,1074,2023-04-20,3,0.0,1
10275,278,1026,2022-10-11,3,0.0,7
10276,293,1056,2023-06-12,4,0.05,1
10277,493,1077,2023-04-23,1,0.0,5
10278,93,1073,2023-02-18,6,0.0,5
10279,493,1054,2023-06-18,1,0.05,4
10280,95,1020,2024-10-13,2,0.0,2
10281,473,1079,2023-02-03,2,0.05,5
10282,360,1004,2023-07-17,3,0.1,5
10283,52,1058,2023-10-22,7,0.15,3
10284,86,1052,2023-08-27,3,0.2,6
10285,279,1063,2022-03-30,5,0.0,7
10286,333,1033,2023-01-05,4,0.0,5
10287,73,1029,2022-10-28,4,0.1,5
10288,159,1050,2023-05-10,7,0.0,6
10289,31,1035,2023-09-04,3,0.15,2
10290,353,1062,2023-11-15,7,0.2,7
10291,377,1058,2022-12-23,8,0.0,6
10292,93,1071,2022-05-15,7,0.15,1
10293,4,1056,2024-11-09,4,0.0,5
10294,162,1051,2023-12-02,4,0.15,6
10295,43,1070,2022-06-25,3,0.1,4
10296,296,1002,2024-05-03,1,0.05,7
10297,135,1060,2022-08-29,4,0.05,5
10298,252,1022,2024-07-05,5,0.1,7
10299,355,1029,2024-09-22,6,0.0,1
10300,202,1072,2022-05-14,4,0.15,6
10301,65,1016,2024-04-16,3,0.2,1
10302,361,1080,2023-07-31,8,0.0,2
10303,241,1059,2022-03-16,2,0.0,7
10304,170,1015,2022-11-26,7,0.2,4
10305,118,1061,2023-12-20,1,0.0,4
10306,119,1006,2024-12-26,2,0.0,4
10307,134,1005,2024-09-13,5,0.0,2
10308,390,1028,2024-12-22,6,0.0,1
10309,188,1012,2024-02-14,4,0.0,2
10310,197,1080,2022-07-08,5,0.05,1
10311,460,1014,2023-07-26,8,0.0,2
10312,413,1032,2024-07-28,9,0.15,6
10313,274,1009,2023-05-02,8,0.1,7
10314,334,1075,2023-04-21,8,0.0,6
10315,205,1023,2023-05-23,7,0.05,1
10316,177,1051,2024-12-15,8,0.15,3
10317,254,1012,2023-03-01,3,0.0,1
10318,333,1027,2023-01-23,3,0.05,3
10319,434,1074,2022-07-10,2,0.05,6
10320,315,1036,2024-03-27,8,0.15,3
10321,205,1061,2022-01-15,6,0.05,4
10322,130,1003,2023-10-03,1,0.05,2
10323,401,1037,2024-06-27,3,0.0,7
10324,282,1025,2022-08-31,2,0.0,5
10325,65,1037,2023-07-30,9,0.0,1
10326,420,1021,2022-07-28,8,0.0,4
10327,487,1007,2022-06-28,7,0.15,5
10328,66,1064,2022-05-02,1,0.0,3
10329,426,1059,2024-07-10,6,0.15,5
10330,105,1037,2022-07-06,2,0.0,1
10331,305,1043,2022-01-02,4,0.15,3
10332,65,1036,2023-06-27,6,0.05,5
10333,349,1018,2023-04-10,2,0.0,3
10334,387,1009,2023-02-11,9,0.0,2
10335,188,1029,2022-12-27,3,0.0,2
10336,450,1020,2022-07-13,2,0.15,3
10337,296,1052,2022-09-24,7,0.15,3
10338,263,1062,2023-03-09,9,0.0,2
10339,205,1047,2023-02-22,4,0.0,2
10340,17,1024,2023-11-20,4,0.05,3
10341,444,1035,2024-06-02,4,0.0,5
10342,263,1002,2022-10-10,9,0.1,5
10343,3,1067,2023-11-09,2,0.05,2
10344,389,1060,2023-06-11,8,0.2,3
10345,223,1025,2022-02-27,9,0.1,4
10346,76,1025,2024-10-14,7,0.0,5
10347,97,1023,2022-03-27,4,0.0,2
10348,249,1001,2023-03-06,9,0.0,5
10349,451,1060,2022-10-20,5,0.0,6
10350,445,1049,2024-08-26,6,0.0,1
10351,334,1044,2023-07-22,9,0.05,1
10352,164,1023,2023-11-19,7,0.0,1
10353,464,1001,2022-05-31,2,0.0,1
10354,443,1015,2022-04-27,8,0.0,7
10355,466,1015,2022-04-17,5,0.0,4
10356,477,1074,2024-10-06,4,0.05,3
10357,133,1070,2023-06-07,8,0.0,3
10358,411,1009,2024-07-26,5,0.0,3
10359,472,1002,2024-05-23,4,0.1,3
10360,428,1077,2022-02-25,2,0.0,5
10361,469,1070,2023-01-13,7,0.1,7
10362,87,1078,2023-03-29,1,0.1,4
10363,290,1059,2024-12-06,9,0.0,5
10364,271,1016,2022-02-22,5,0.1,7
10365,321,1055,2023-10-21,1,0.0,7
10366,239,1040,2024-05-30,1,0.2,7
10367,445,1079,2023-05-03,8,0.1,7
10368,146,1051,2024-08-16,4,0.0,3
10369,261,1029,2022-10-28,6,0.05,7
10370,229,1001,2022-12-07,6,0.0,4
10371,351,1079,2024-02-15,7,0.0,1
10372,304,1015,2022-09-07,9,0.0,6
10373,379,1027,2022-11-24,7,0.05,1
10374,320,1024,2024-07-10,8,0.15,4
10375,213,1016,2024-11-05,2,0.05,4
10376,415,1038,2024-01-23,6,0.0,1
10377,373,1010,2024-01-30,8,0.1,2
10378,136,1056,2022-08-03,4,0.1,2
10379,433,1005,2022-02-26,3,0.1,3
10380,376,1029,2023-06-15,1,0.0,2
10381,149,1006,2024-04-08,5,0.05,1
10382,458,1022,2022-07-27,4,0.0,6
10383,394,1016,2023-10-28,1,0.0,3
10384,60,1013,2023-02-07,2,0.05,4
10385,442,1040,2024-11-17,5,0.0,6
10386,4,1063,2022-02-15,4,0.05,4
10387,340,1079,2024-03-13,2,0.0,3
10388,233,1050,2023-06-29,3,0.0,6
10389,270,1080,2022-08-13,4,0.0,3
10390,399,1028,2022-09-07,4,0.05,7
10391,434,1016,2022-05-31,2,0.1,2
10392,455,1056,2023-07-19,2,0.1,2
10393,191,1037,2022-08-01,6,0.0,3
10394,342,1024,2024-03-17,9,0.2,3
10395,416,1074,2022-07-23,2,0.15,6
10396,404,1025,2023-12-29,5,0.0,3
10397,363,1001,2022-03-21,6,0.0,7
10398,462,1046,2022-07-25,3,0.15,6
10399,282,1005,2022-05-30,6,0.2,3
10400,204,1010,2023-04-01,4,0.0,1
10401,430,1038,2022-06-10,1,0.05,3
10402,351,1074,2023-09-20,8,0.0,7
10403,17,1056,2024-06-06,9,0.0,2
10404,9,1014,2023-02-18,9,0.05,1
10405,95,1006,2022-02-20,2,0.0,3
10406,310,1070,2022-08-21,6,0.0,1
10407,467,1028,2022-12-18,7,0.05,5
10408,415,1045,2023-07-04,8,0.0,1
10409,234,1038,2024-09-28,8,0.0,6
10410,319,1070,2022-10-13,7,0.15,1
10411,215,1039,2022-09-04,1,0.05,6
10412,197,1040,2024-11-01,7,0.0,6
10413,456,1066,2022-01-22,5,0.0,6
10414,468,1069,2024-04-29,5,0.0,3
10415,253,1063,2022-06-28,6,0.15,4
10416,449,1067,2024-10-28,5,0.0,7
10417,295,1047,2023-03-23,2,0.0,7
10418,160,1013,2022-07-23,7,0.05,6
10419,53,1018,2024-12-16,3,0.0,3
10420,31,1039,2024-01-29,7,0.2,2
10421,315,1062,2024-06-10,5,0.0,7
10422,241,1033,2023-08-23,9,0.0,4
10423,429,1020,2023-09-17,8,0.1,2
10424,403,1044,2022-12-11,1,0.0,4
10425,244,1001,2022-01-29,2,0.1,6
10426,138,1015,2022-10-03,7,0.0,4
10427,233,1075,2024-05-08,3,0.05,7
10428,25,1003,2023-08-23,4,0.15,1
10429,83,1026,2024-05-09,7,0.0,3
10430,134,1067,2022-03-19,8,0.0,3
10431,80,1006,2024-10-27,9,0.2,3
10432,217,1027,2024-06-01,7,0.0,4
10433,188,1068,2024-11-29,1,0.15,2
10434,443,1060,2023-12-03,3,0.0,5
10435,421,1032,2023-11-05,6,0.0,4
10436,334,1072,2023-10-23,3,0.0,2
10437,137,1008,2024-09-07,9,0.0,6
10438,341,1043,2023-04-22,1,0.0,5
10439,111,1016,2023-08-18,2,0.0,6
10440,436,1007,2023-11-21,5,0.15,2
10441,466,1024,2024-07-28,3,0.0,3
10442,267,1046,2023-10-25,4,0.05,5
10443,361,1011,2023-09-16,1,0.05,3
10444,437,1033,2022-01-20,3,0.0,7
10445,494,1013,2022-01-29,5,0.1,1
10446,189,1078,2024-03-02,7,0.0,6
10447,6,1067,2023-06-21,2,0.0,5
10448,9,1003,2024-03-13,3,0.05,5
10449,403,1080,2022-03-31,4,0.0,1
10450,400,1070,2024-02-24,6,0.0,2
10451,93,1011,2022-07-29,3,0.0,5
10452,54,1009,2024-03-17,9,0.1,7
10453,493,1039,2023-06-13,8,0.0,1
10454,432,1039,2022-08-07,7,0.0,1
10455,470,1024,2023-12-14,9,0.05,7
10456,144,1009,2024-03-20,8,0.05,3
10457,460,1061,2023-12-22,3,0.15,1
10458,147,1050,2024-12-03,2,0.0,7
10459,422,1077,2024-02-13,8,0.15,5
10460,118,1022,2022-04-15,1,0.0,3
10461,444,1053,2023-06-16,1,0.0,6
10462,189,1078,2022-08-30,4,0.0,6
10463,436,1075,2024-06-27,9,0.0,3
10464,375,1048,2024-12-20,6,0.0,2
10465,14,1038,2023-03-30,6,0.0,1
10466,151,1069,2022-12-07,1,0.05,5
10467,361,1010,2023-04-04,3,0.0,1
10468,141,1012,2022-01-23,8,0.0,2
10469,90,1001,2023-10-12,9,0.2,6
10470,244,1069,2022-01-26,4,0.1,6
10471,115,1071,2022-11-14,9,0.0,5
10472,99,1030,2024-04-07,9,0.05,1
10473,403,1018,2024-05-20,2,0.1,4
10474,115,1077,2024-04-09,1,0.0,1
10475,95,1026,2022-02-06,4,0.0,3
10476,308,1049,2023-05-28,5,0.0,3
10477,376,1059,2024-01-31,1,0.2,4
10478,319,1009,2022-03-08,1,0.05,5
10479,250,1053,2022-10-20,7,0.0,2
10480,154,1058,2023-10-02,6,0.05,1
10481,108,1005,2023-01-19,1,0.05,7
10482,449,1015,2024-01-29,7,0.0,3
10483,49,1050,2022-04-14,8,0.0,5
10484,47,1045,2023-06-26,7,0.1,7
10485,175,1030,2022-03-26,7,0.15,1
10486,84,1032,2023-02-26,7,0.0,4
10487,237,1005,2022-06-12,3,0.1,6
10488,235,1072,2024-12-09,9,0.0,3
10489,385,1001,2023-12-08,8,0.1,4
10490,204,1012,2022-08-09,9,0.05,2
10491,141,1021,2022-10-03,9,0.0,1
10492,76,1056,2024-12-22,2,0.15,6
10493,120,1055,2022-02-01,9,0.15,2
10494,335,1034,2023-11-13,3,0.15,7
10495,470,1011,2023-04-20,5,0.05,3
10496,320,1031,2023-08-29,3,0.2,3
10497,327,1074,2023-04-11,1,0.15,7
10498,428,1008,2022-03-25,2,0.05,3
10499,8,1025,2024-12-19,5,0.0,4
10500,472,1034,2023-04-10,2,0.0,3
10501,397,1052,2023-11-10,9,0.0,5
10502,409,1041,2023-10-08,5,0.15,1
10503,152,1077,2024-12-10,7,0.2,6
10504,428,1007,2024-07-25,7,0.0,7
10505,295,1078,2022-09-16,8,0.0,7
10506,24,1001,2023-02-16,6,0.05,1
10507,436,1028,2023-05-04,6,0.0,2
10508,262,1015,2022-08-04,3,0.05,5
10509,398,1068,2024-09-24,6,0.0,6
10510,311,1053,2024-01-31,1,0.05,4
10511,333,1072,2024-02-13,1,0.15,2
10512,128,1047,2023-10-21,4,0.0,5
10513,157,1034,2022-04-26,7,0.15,7
10514,18,1010,2023-10-31,8,0.0,5
10515,336,1044,2023-10-18,8,0.15,6
10516,270,1063,2022-08-26,3,0.05,5
10517,80,1076,2024-04-04,9,0.15,3
10518,491,1031,2023-09-20,6,0.15,5
10519,361,1016,2022-05-12,4,0.05,1
10520,91,1066,2023-07-01,3,0.0,7
10521,357,1007,2023-04-23,9,0.05,5
10522,328,1030,2023-08-27,4,0.05,2
10523,500,1020,2022-09-18,2,0.05,3
10524,92,1054,2022-06-09,5,0.1,5
10525,410,1033,2022-11-22,1,0.0,4
10526,273,1055,2024-08-22,6,0.05,5
10527,442,1076,2022-10-06,4,0.05,5
10528,405,1066,2024-04-21,4,0.0,5
10529,198,1077,2022-03-29,9,0.0,4
10530,409,1008,2023-12-10,1,0.0,7
10531,444,1044,2024-09-02,4,0.0,4
10532,46,1039,2024-06-13,4,0.05,1
10533,194,1052,2024-01-27,6,0.0,7
10534,199,1045,2023-03-17,5,0.0,6
10535,201,1070,2023-04-19,1,0.0,4
10536,46,1048,2024-12-13,3,0.0,7
10537,349,1038,2023-06-25,1,0.1,2
10538,327,1059,2024-10-08,2,0.05,2
10539,375,1002,2023-04-23,4,0.0,5
10540,479,1018,2023-08-12,1,0.05,3
10541,234,1045,2022-01-06,4,0.0,2
10542,297,1005,2023-10-08,2,0.05,3
10543,487,1054,2024-01-10,6,0.1,7
10544,392,1042,2024-07-17,8,0.05,2
10545,267,1073,2023-07-28,9,0.0,7
10546,136,1029,2024-04-13,4,0.0,6
10547,448,1024,2024-08-05,4,0.0,6
10548,24,1056,2023-04-01,1,0.0,1
10549,394,1071,2022-03-04,9,0.0,7
10550,481,1045,2023-10-07,2,0.05,5
10551,49,1017,2023-02-22,4,0.15,4
10552,143,1058,2023-04-28,8,0.0,3
10553,261,1003,2024-08-03,6,0.05,6
10554,218,1016,2022-11-03,6,0.0,3
10555,365,1004,2024-01-12,3,0.0,5
10556,169,1025,2022-11-16,5,0.05,7
10557,459,1064,2022-01-04,7,0.0,3
10558,398,1018,2022-12-08,1,0.1,5
10559,410,1040,2022-04-23,6,0.0,4
10560,361,1041,2023-01-24,9,0.0,2
10561,395,1006,2022-01-20,3,0.0,5
10562,328,1064,2023-03-14,8,0.05,1
10563,297,1068,2023-08-20,6,0.15,5
10564,321,1008,2024-07-02,6,0.0,4
10565,436,1036,2023-08-19,9,0.0,3
10566,14,1034,2022-12-31,8,0.0,7
10567,157,1045,2023-10-22,2,0.0,6
10568,477,1003,2024-01-05,8,0.0,3
10569,251,1001,2022-03-03,4,0.2,4
10570,495,1069,2024-06-18,8,0.0,2
10571,313,1022,2022-11-25,1,0.0,7
10572,257,1019,2023-10-20,1,0.05,3
10573,68,1051,2024-01-05,3,0.15,2
10574,99,1052,2022-09-03,5,0.1,1
10575,338,1067,2024-07-25,1,0.0,1
10576,414,1071,2024-01-01,2,0.0,2
10577,232,1022,2024-12-15,6,0.1,1
10578,148,1036,2024-10-11,4,0.0,2
10579,196,1007,2022-01-23,5,0.0,4
10580,82,1055,2023-03-08,8,0.1,5
10581,475,1008,2024-12-17,7,0.15,5
10582,260,1042,2023-07-23,2,0.0,5
10583,24,1055,2022-01-05,5,0.15,2
10584,244,1050,2022-05-03,3,0.05,6
10585,217,1052,2022-07-11,2,0.15,1
10586,37,1044,2024-09-08,7,0.0,2
10587,443,1044,2023-06-08,4,0.05,1
10588,88,1078,2023-03-14,2,0.0,5
10589,134,1014,2023-03-16,9,0.0,4
10590,286,1015,2024-08-17,1,0.0,1
10591,233,1076,2022-01-16,3,0.05,7
10592,44,1050,2023-09-19,8,0.0,7
10593,122,1034,2024-12-13,9,0.2,7
10594,436,1031,2023-11-16,5,0.0,2
10595,296,1006,2023-06-25,3,0.0,1
10596,194,1062,2024-09-16,2,0.15,5
10597,366,1078,2024-07-04,1,0.0,1
10598,277,1015,2022-05-21,1,0.0,1
10599,496,1048,2024-05-19,4,0.1,7
10600,472,1032,2022-09-23,8,0.0,3
10601,115,1052,2024-08-31,7,0.1,1
10602,239,1009,2022-06-06,4,0.1,6
10603,437,1047,2024-11-12,3,0.05,3
10604,183,1068,2023-09-21,6,0.0,7
10605,214,1017,2024-04-20,2,0.1,4
10606,376,1066,2024-09-16,4,0.05,7
